,url,Position,Company,Location,Job_Description
1,https://www.glassdoor.co.in/partner/jobListing.htm?pos=2119&ao=437149&s=58&guid=0000016baeaed05a9c74761e75f813aa&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_090ed86b&cb=1562003821207&jobListingId=3200583256,Senior Data Engineer,LifeSight, – Bengaluru,"Responsibilities:

Designing, building, installing, configuring, monitoring and supporting Batch/ Stream data-processing jobs/ scripts.

Requirements:

Strong Knowledge in Spark & Scala/Java/Python(more than one).

Must have working knowledge of at least one SQL DB (MySQL, Postgres, Redshift) and NoSql DB (Cassandra, Mongo Db, Redis, DynamoDB etc).

Knowledge on Kafka, Data streams is added advantage.

Data backup/ extraction/ processing/ preparation methods and storage frameworks/ structures (full as well as incremental).

Pattern matching and data manipulation/ filtering operators in shell/ SQL/ NoSQL is essential knowledge.

Data mining, data analytics and prototyping data pipeline experience is added advantage.

Must - Python, SQL, NoSQL, Redshift, Redis, MongoDB, Spark.

Good to have - Scala, R, Java."
2,https://www.glassdoor.co.in/partner/jobListing.htm?pos=2208&ao=453084&s=58&guid=0000016baeaee421b9943164e607bbd2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_a5f7bdcd&cb=1562003826191&jobListingId=3152883461,Lead Data Engineer,Société Générale, – Bengaluru,"
Environment
Societe Generale Global Solution Centre (SG GSC), a 100% owned subsidiary of European banking major Societe Generale (SG), Our role and purpose is to enable the strategic vision of Societe Generale Group. We are doing this by pioneering cutting edge innovation from Design Thinking to Smart Automation & Artificial Intelligence, and applying it to banking.
SG Global Solution Centre provides services in the areas of Application Development and Maintenance, Infrastructure Management, Business Process Management, and Knowledge Process Management, to Societe Generale's business lines around the world.
“We are committed to creating a diverse environment and are proud to be an equal opportunity employer. All qualified applicants receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status”.


Mission

Responsible for understanding the software requirements and developing it into a working source code accordingly.


Profile

Strong knowledge and work experience with Apache Spark (2.x) and Scala.

High performance, reliable and maintainable coding experience

Strong Knowledge of Hadoop Eco System ( HDFS, Hive, Oozie, Elastic search,Kafka and HUE)

Experience with Horton Data Platform

Working knowledge of CI \ CD platforms like Jenkins.




Opportunity to work with some of the best minds in a team and learn a lot on the technical front. Get mentored/groomed on the best practices followed in the software industry.

""Internal Interfaces:

Team members, Technical leader, Business Analyst

External Interfaces:

Onshore team, Developers, Technical Lead, Business Analyst, End Users""


"
3,https://www.glassdoor.co.in/partner/jobListing.htm?pos=904&ao=437149&s=58&guid=0000016baead0d9c95b34544170600ca&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_ee68d262&cb=1562003705647&jobListingId=3201412128,BCAI_Senior Data Scientist - NLP,Bosch Group, – Bengaluru,"Job Description

Job Requirements:

Working with stake holders from different business units in Bosch to identify the business opportunities for leveraging the data to drive business solutions.

Partner closely with product and engineering leaders throughout the lifecycle of project. Ensure that necessary data is captured; analytic needs are well-defined up front and coordinate the analytic needs.

Experience in creating statistical models and/or optimization frameworks for improving processes/products/profits

Proactively develop new metrics and studies to quantify the value of different aspects of product.

Should possess working knowledge of visualization concepts along with any one of the software like Tableau, Spot fire or D3-JS

Should have independently handled a project technically and provided directions to the other Team Members.

Strong interpersonal and communication skills: ability to tell a clear, concise, actionable story with data, to folks across various levels of the company.

Technical Skills

Worked on any of the following NLP application areas

Sematic Web and Ontologies

Machine Translation

Sentiment Analysis

Document Classification

Question-Answer Matching

Text Summarization

Have worked with RNN, LSTM etc. Know when and where to use which method

Work Experience in creating NLP pipelines for processing large amount of document corpus

Working knowledge (2+ years) of relational and NO-SQL database systems (Oracle or SQL Server; Mongo)

Working Knowledge of document data store such as Elastic Search, SOLR

Good understanding of machine learning algorithms such as CRFs , SVM, Ensemble of trees

Expertise with one of the following coding languages;

Python, R, Java

Qualifications

A Master’s or PhD is preferred (Statistics /Computer Science / Machine Learning, etc), but equivalent work experience will be considered for M.Sc

Additional Information

Experience in the range of 3- 6 years"
4,https://www.glassdoor.co.in/partner/jobListing.htm?pos=3021&ao=437149&s=58&guid=0000016baeafe7388a34bfd62b4e5a9a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_53c58911&cb=1562003892511&jobListingId=3203468453,Platform Product Owner - Data Analytics,Danaher Corporate, – Bengaluru,"Position Description

As a Platform Product Owner (Data Analytics), you will take on several roles, including business strategist, product designer, market analyst, customer liaison, and project manager. You will join a fast-paced environment to deliver new cloud-based Data & Analytics platforms in collaboration with a team of highly skilled architects, cloud engineers, UI/UX designers, QA engineers, product managers and other business stakeholders.

You will be a key part of a team that tackles complex high-performance high-value feature requirements in advanced Digital initiatives involving large scale Data Analytics systems. You will access your deep well of Data Analytics market and technology knowledge to strategize and present your vision to business and technology stakeholders. You will roll up your developer sleeves to help the scrum development teams meet their goals during a sprint.

You will work with business stakeholders, lead architects and product managers to understand feature requirements for Data Analytics platforms that will have to support a diverse set of applications. You will bring your expertise in cloud-based Data Analytics interfaces/services, security standards, performance/reliability characteristics and third-party software integration practices to create best in class Data Analytics platform for Danaher. You will be responsible for bringing a sense of urgency, open communication, collaboration for timely product build-outs. You will translate product strategy and business priorities for Data Analytics Platforms and applications in to coherent set of features for one or more Agile teams. You will be responsible for setting, prioritizing, and evaluating the work generated by a software Scrum team in order to ensure impeccable features and functionality of the product, and maximize delivery of business value to customers

Responsibilities:

Define platform product vision, road-map and growth opportunities

Research, keep current on and analyze Data Analytics markets and technologies, relevant user segments, applications and the roadmap for the platform

Providing vision and direction to the Agile development team and stakeholders throughout the project and create requirements

Understand platform strategy and assess feature development requirements, prioritize stories, epics and themes to align and focus Agile work streams for maximum value creation.

Manage Platform Product Backlog. Ensure that the team always has an adequate amount of prior prepared tasks to work on; Play a leadership role in scrum teams.

Write clear, compelling and detailed (technical) user epics and stories with user acceptance criteria in an Agile environment. Participate in story grooming exercises for crisp and unambiguous documentation and communication of features to be developed.

Manage and prioritize feature iterations to make trade-offs affecting schedule, cost, quality and customer expectations.

Manage and set release expectations for delivery of new functionalities

Provide an active role in mitigating impediments impacting successful team completion of Release/Sprint Goals

Keep abreast with Agile/Scrum best practices and new trends

Qualifications

Requirements:

5+ years of relevant Data Analytics software/platform experience as a Product Owner, from a total of 10+ years of experience coming from Software Product Management/Owner, Software Engineering or related disciplines.

5+ years of experience in Data Analytics systems/platforms/applications or related cloud services gained from Product Management/Technical management or as a hands-on architect. E.g: AWS/Azure ML, AWS/Azure data ingestion and preparation services, Tableau/PowerBI, SQL/NoSQL, Row & Columnar databases, Hadoop, Cassandra, Spark, ELK, and related data and machine learning services.

5+ years of experience in cloud-based (AWS or Azure) software applications/services, preferably AWS/Azure Data Analytics related services, including Big Data and Machine Learning

3+ years of in-depth knowledge of Agile process and principles, SAFe or similar.

Sharp analytical and problem-solving skills; attention to details

Experience using SDLC (software development lifecycle) practices and frameworks and backlog management tools (e.g. JIRA/Confluence/etc.).

Good skills and knowledge of facilitation, situational awareness, conflict resolution, continual improvement, empowerment, and increasing transparency.

Ability to work successfully in a team environment.

Clear written and verbal communications skills; Attention to detail, self-motivated, creative and flexible; Excellent time management and organizational skills.

Must have prior record of accomplishment of working in a globally distributed team in different time zones with excellent communication skills

Travel on average about 20%.

Degree in Computer Science or a related field is a plus.

Danaher Corporation Overview

Danaher is a global science & technology innovator committed to helping our customers solve complex challenges and improve quality of life worldwide. Our world class brands are leaders in some of the most demanding and attractive industries, including life sciences, medical diagnostics, dental, environmental and applied solutions. Our globally diverse team of 71,000 associates is united by a common culture and operating system, the Danaher Business System, which serves as our competitive advantage. We generated $19.9B in revenue last year. We are ranked #162 on the Fortune 500 and our stock has outperformed the S&P 500 by more than 5,200% over 25 years.

At Danaher, you can build a career in a way no other company can duplicate. Our brands allow us to offer dynamic careers across multiple industries. We’re innovative, fast-paced, results-oriented, and we win. We need talented people to keep winning. Here you’ll learn how DBS is used to shape strategy, focus execution, align our people, and create value for customers and shareholders. Come join our winning team.

Danaher is committed to competitive compensation that typically has key components including base salary, variable annual incentive compensation based on personal and company performance, and long-term incentive.

Danaher Digital

Danaher Digital is our digital innovation, incubation and acceleration center where we’re bringing together the leading strategic product and business leaders, technologists and data scientists for the common purpose of accelerating development and commercialization of disruptive and transformative digital solutions into the marketplace.

We accelerate Danaher’s digital innovation journey by partnering with Danaher operating companies (OPCOs) to monetize and commercialize the potential of emerging and disruptive digital trends such as AI, Machine Learning (ML), Big Data, IoT, Augmented Reality (AR), Cloud (SaaS/PaaS) and other Digital frontiers. True to Danaher’s shared purpose of “Helping Realize Life’s potential”, we work alongside industry’s leading companies in large, diverse and growing markets segments – from industrials to environmental sciences to life sciences to medical diagnostics.

Organization: Corporate

Job Function: Engineering

Primary Location: Asia Pacific-India-India-Karnataka-Bangalore

Schedule: Full-time"
5,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1223&ao=437149&s=58&guid=0000016baead6f72aa0ae4156a657a80&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_458f8b7c&cb=1562003730782&jobListingId=3201186367,Data Analyst,SmartCoin, – Bengaluru,"SmartCoin is here to provide simple and transparent financial products to the large underserved population in India. We are looking for an experienced Data Scientist who will help in our mission by leveraging the state-of-the-art machine learning and AI.

Your primary focus will be doing statistical analysis, and applying data mining and machine learning techniques to build next generation credit decisioning and risk models. You will also work towards fraud prevention and digital UA optimization. You will collaborate with our current team of nerds in solving complex problems in a simple way by creating experiments, algorithms and prototypes that not only yield high-accuracy but are also designed and engineered to scale.

Responsibilities:

Understand what data is available, where, and how to pull it together.

Doing ad-hoc analysis and presenting results in a clear manner.

Own reporting and data visualization of key business metrics.

Build statistical models, train, test and tune them towards the optimal performance.

Work across the spectrum statistical modeling and supervised learning tools and techniques and apply the right level of solution to the right problem.

Skills and Qualifications:

Hands on with writing advanced SQL queries.

Expertise of applied statistics such as distributions, regression etc.

Deep understanding of data mining and machine learning techniques and algorithms.

Experience in credit-risk modeling and fraud detection is a plus."
6,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1802&ao=437149&s=58&guid=0000016baeae7564a2953d77b61044d8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_dd157377&cb=1562003797795&jobListingId=3236552343,Sr Data Scientist - Dna,Neustar, – Bengaluru,Neustar Inc is a leading global information services provider driving the connected world forward with trusted holistic identity resolution More information is available at https www home neustar Job Requisition R-1661 Sr Data Scientist - DNA Open Primary Location BANGALORE The Data and Analytics organization at Neustar is the DNA of the company The DNA encodes the essence of existence and character that drives continuous innovation with data continuous insights with analytics and continuous evolution with cutting-edge data products and services Our vision is to be the trailblazer in Connection…
7,https://www.glassdoor.co.in/partner/jobListing.htm?pos=2027&ao=463638&s=58&guid=0000016baeaeb1559758c2d824602746&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_ffd4661d&cb=1562003813163&jobListingId=3270293765,GCT - Data Engineering Java Developer,J.P. Morgan, – Bengaluru," GCT Data Engineering

 Developer

Responsibilities

· Design and build scalable

 and resilient technical solutions using Java and BigData frameworks in the

 Hadoop ecosystem

· Work with data services

 team to identify sources of data (both internal and 3rd party) for data

 cleansing / enhancement / enrichment/ data warehouse

· Drive the delivery of

 business value via change programs/projects within the futures & options

 clearing technology group

· Create automated unit

 tests using a Test Driven Development approach

· Develop a strong

 understanding of key functions of clearing, margining & settlements

 within the F&O world.

· Partner with supporting

 tech leads to develop realistic and achievable project estimates

· Analysis and build within

 Control, Stability, Resiliency, Capacity & Performance areas.

· Testing: Unit, SIT &

 UAT planning and management.

· Robust delivery of code

 into the production environment with zero tolerance for post implementation

 issues

· Proactively look to

 develop, implement and further development best practices across the

 group.

· Contribute to quality

 improvement, code reviews, code/architecture standards, code reuse etc.

Qualifications and Skills (Required)

· Relevant University

 degree

· Very Strong problem

 solving, analytical and communication skills (both verbal and written)

· Expert level knowledge of

 core Java (atleast JDK 1.7) with clear understanding of advanced concepts in

 collection framework, garbage collection, multi threading etc.

· Ability to take on

 difficult and complex large scale problems and provide end to end

 solutions

· Ability to build and

 maintain strong relationships with stakeholders in business, operations,

 operate etc.

Qualifications and Skills(Nice to have but highly desirable)

· Hands-on experience

 working with BigData related technologies: Hadoop, HDFS, Map-Reduce, HBase,

 Hive, Spark, Kafka etc. with PROD implementation knowledge and

 troubleshooting experience

· Experience working with

 Maven, Jenkins, Git/Subversion etc.

· Solid understanding of

 database concepts and working knowledge with any of the vendors with atleast

 some exposure to performance tuning

· Experience working with

 related technical frameworks Spring, JMS, JDBC etc.

· Some experience of

 providing production support in a Level2/Level3 capacity

Java,

 Spring. BigData suite (Hadoop, Kafka, Spark) will be a huge plus.
 Our

 Corporate & Investment Bank relies on innovators like you to build and

 maintain the technology that helps us safely service the worlds important

 corporations, governments and institutions. Youll develop solutions for a

 bank entrusted with holding $18 trillion of assets and $393 billion in

 deposits. CIB provides strategic

 advice, raises capital, manages risk, and extends liquidity in markets

 spanning over 100 countries around the world.

When you work at JPMorgan Chase & Co., youre not just working at a

 global financial institution. Youre an integral part of one of the worlds

 biggest tech companies. In 14 technology hubs worldwide, our team of 40,000+

 technologists design, build and deploy everything from enterprise technology

 initiatives to big data and mobile solutions, as well as innovations in

 electronic payments, cybersecurity, machine learning, and cloud development.

 Our $9.5B+ annual investment in technology enables us to hire people to

 create innovative solutions that will not only transform the financial

 services industry, but also change the world.

At JPMorgan Chase & Co. we value the unique skills of every employee,

 and were building a technology organization that thrives on diversity. We encourage professional growth and career

 development, and offer competitive benefits and compensation. If youre looking to build your career as

 part of a global technology team tackling big challenges that impact the

 lives of people and companies all around the world, we want to meet you.

@2019 JPMorgan Chase & Co. JPMorgan Chase is an equal opportunity and

 affirmative action employer Disability/Veteran. "
8,https://www.glassdoor.co.in/partner/jobListing.htm?pos=2814&ao=132976&s=58&guid=0000016baeafa65a98836b4f5999adf7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_7272814d&cb=1562003875871&jobListingId=3225837177,Consumer Banking Technology - UK Consumer Deposits Technology - Data Engineer - Bangalore,Goldman Sachs, – Bengaluru,"MORE ABOUT THIS JOBWhat We DoAt Goldman Sachs, our Engineers don’t just make things – we make things possible. Change the world by connecting people and capital with ideas. Solve the most challenging and pressing engineering problems for our clients. Join our engineering teams that build massively scalable software and systems, architect low latency infrastructure solutions, proactively guard against cyber threats, and leverage machine learning alongside financial engineering to continuously turn data into action. Create new businesses, transform finance, and explore a world of opportunity at the speed of markets.Engineering, which is comprised of our Technology Division and global strategists groups, is at the critical center of our business, and our dynamic environment requires innovative strategic thinking and immediate, real solutions. Want to push the limit of digital possibilities? Start here.Who We Look ForGoldman Sachs Engineers are innovators and problem-solvers, building solutions in risk management, big data, mobile and more. We look for creative collaborators who evolve, adapt to change and thrive in a fast-paced global environment.

Consumer and Investment Management (CIMD)

The Consumer and Investment Management Division includes Goldman Sachs Asset Management (GSAM), Private Wealth Management (PWM) and our Consumer business (Marcus by Goldman Sachs). We provide asset management, wealth management and banking expertise to consumers and institutions around the world. CIMD partners with various teams across the firm to help individuals and institutions navigate changing markets and take control of their financial lives.

Consumer

Consumer, externally known as Marcus by Goldman Sachs, is comprised of the firm’s digitally-led consumer businesses, which include our deposits and lending businesses. It also includes our personal financial management app, Clarity Money. Consumer combines the strength and heritage of a 150-year-old financial institution with the agility and entrepreneurial spirit of a tech start-up. Through the use of insights and intuitive design, we provide customers with powerful tools that are grounded in value, transparency and simplicity to help them make smarter decisions about their money.RESPONSIBILITIES AND QUALIFICATIONSHOW YOU WILL FULFILL YOUR POTENTIAL• Design and develop data ingest and transform processes• Develop data visualizations using BI tools and web-based technologies• Work as part of a global team using Agile software methodologies• Partner with Marcus risk, product, acquisition and servicing teams• Use Marcus data to drive change throughout the Marcus businessSKILLS AND EXPERIENCE WE ARE LOOKING FOR• Minimum 3 years of relevant professional experience• Bachelor’s degree or equivalent required• Experience with SQL and relational databases• Proficient at Python, Spark and the Hadoop ecosystem• Self-starter, motivated, and good communication skills Strong sense of ownership and driven to manage tasks to completionPreferred QualificationsABOUT GOLDMAN SACHSThe Goldman Sachs Group, Inc. is a leading global investment banking, securities and investment management firm that provides a wide range of financial services to a substantial and diversified client base that includes corporations, financial institutions, governments and individuals. Founded in 1869, the firm is headquartered in New York and maintains offices in all major financial centers around the world.© The Goldman Sachs Group, Inc., 2019. All rights reserved Goldman Sachs is an equal employment/affirmative action employer Female/Minority/Disability/Vet."
9,https://www.glassdoor.co.in/partner/jobListing.htm?pos=2403&ao=136249&s=58&guid=0000016baeaf24ef886cc75aedc25f50&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_2f016ef8&cb=1562003842895&jobListingId=3280513975,Data Modeler - 2 to 4 Years,Capgemini, – Bengaluru,"Short Description
Job Role: Data Modeler

Job Description:


Be responsible for the development of the conceptual logical and physical data models the implementation of RDBMSGood with SQL and Analysis skillsOversee and govern the expansion of existing data architecture and the optimization of data query performance via best practicesThe candidate must be able to work independently and collaborativelyKnowledge about tools like Erwin and able to pick up new toolsGood communication skills
Experience: 2 to 4 Years

Location: Bangalore"
10,https://www.glassdoor.co.in/partner/jobListing.htm?pos=706&ao=481833&s=58&guid=0000016baeacd17180fc1f5efc998aed&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_ea4dc8f5&cb=1562003690280&jobListingId=3208228065,Data Science Consultant,JDA Software, – Bengaluru,"Responsibilities



Selecting features, building and optimizing classifiers using machine learning techniques
Data mining using state-of-the-art methods & tools
Extending company’s data with third party sources of information when needed
Enhancing data collection procedures to include information that is relevant for building analytic systems
Processing, cleansing, and verifying the integrity of data used for analysis
Doing ad-hoc analysis and presenting results in a clear manner

Skills and Qualifications
Excellent understanding of machine learning techniques and algorithms, such as K means clustering, Naive Bayes etc
Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc. Excellence in at least one of these is required
Experience in Supply Chain concepts
Experience in Statistical Analysis, Operations Research concepts – Integer/Linear/Stochastic programming
Experience with data visualization tools, such as D3.js
Proficiency in using query languages such as SQL, Hive, Pig
Experience with NoSQL databases, such as MongoDB, Cassandra
Good applied statistics skills, such as distributions, statistical testing, regression, etc.
Good scripting and programming skills
Data-oriented personality
Bachelors or Masters in Computer Science w/Data Science specialty
Experience preferred: 5-10 yrs

Our Values

If you want to know the heart of a company, take a look at their values. Ours unite us. They are what drive our success – and the success of our customers. Does your heart beat like ours? Find out here: Core Values

Check out JDA's blog - Supply Chain Nation - the platform for supply chain trends and innovations.
"
