url,Position,Company,Location,Job_Description
https://www.glassdoor.co.in/partner/jobListing.htm?pos=2106&ao=116277&s=58&guid=0000016baeaed05a9c74761e75f813aa&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_0853f296&cb=1562003821196&jobListingId=1069988912,Senior Data Scientist (5-7 Years Exp.) for a Leading Behavioral Ad Solution Provider.!!,Zyoin, – Bengaluru,"Job responsibilities:
• Lead efforts in building/identifying data products for Client's business needs
• Work with petabytes of structured and unstructured data sets;
• Work closely with product management, product development, quality assurance, sales and professional services teams throughout the organization;
• Develop, enhance and support end user reporting;
• Lead analytics projects to support the strategic product direction, sales and customer efforts;
• Perform hypothesis testing and develop predictive model;
• Evaluate and provide input on potential business intelligence solutions.
Required Skills
• Advanced degree (MS or PhD) in Computer Science, Statistics, Applied Mathematics, Machine Learning
• 5-7 years of industrial experience
• Broad knowledge of existing data mining algorithms and technologies
• Experience working with large data sets and developing scalable algorithms
• Demonstrated ability in developing and deploying data-driven product
• Deep understanding and hands-on experience of machine learning anddata mining algorithms such as decision trees, classifiers,clustering, and regression
• Experience with big data techniques Pig/Hive/Mahout is a plus
• Experience with statistical environment R/Matlab is a plus
• Proficient in scripting languages Python/Java
• Excellent presentation and communication skills
• Strong analytical and problem solving skills
• Prior experience in online advertising a plus
• Demonstrated experience in leading programs and teams
• Ability to work independently and deal with ambiguity

Client Details
• Our Client is a leading behavioral advertising solution provider headquartered in Bangalore, India. 
• Our Client has presence in India, China, Singapore, Thailand, Australia, Spain & Netherlands.
• Our Client helps the advertisers optimize their RoIe through our targeting platform by letting them have 1:1 conversations..
• We are backed by leading VC firms from India, Singapore & Silicon Valley."
https://www.glassdoor.co.in/partner/jobListing.htm?pos=1918&ao=4341&s=58&guid=0000016baeae937c9ecca8ed9b6487c3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_a2ef12fa&cb=1562003805563&jobListingId=3248717411,Associate Data Engineer,Quaero, – Bengaluru,"About Quaero: Mission Control for Customer Data

Quaero is the leading Customer Data Management (CDP) for direct marketers, direct marketing agencies and digital publishers. To complement this product offering, we deploy teams of data scientists, data engineers, BI practitioners and strategic consultants to help our customers succeed in generating insights, monetizing data and evolving their businesses to be truly data driven.

At Quaero, we consider ourselves business-minded adventures. We are collaborative, empowered and accountable. We are driven by intellectual curiosity and the desire to deliver a best in class result.

Position Summary:

This position requires strong data engineering and development skills. You will be responsible for migrating our existing customer from their legacy system to our CDP platform and support end users in production environment. You will work on the most advanced data management framework and utilities built on big data and cloud data warehouse platform. You must demonstrate an ability to learn new system architecture in a short time and make significant contributions to the implementation process.

Responsibilities:

Configure CDP data management to import data into a data lake, create conformance layer and build aggregated workflows to support business intelligence reportingReverse engineer existing production processes to understand data relationships, improve efficiency and redesign data structureCreate data mapping and functional specification documentsCreate logical and physical data modelDevelop and automate data pipeline. Ensure minimal support is required to support those processes in production environmentExecute unit testing, functional testing, and performance testingTroubleshoot and root cause analysis of data issuesCollaborate with team members spread across different time zones

Experience:

1-3 years of data engineering and data management experience in SQL Server 2014 or aboveMust have experience with the following: T-SQL programming and SSIS packages Strong problem solving and ETL troubleshooting skills Programming experience in Python, .Net or C#Experience with the following is a plus and will make your learning curve much shorter: Netezza, Hadoop, Redshift or Snowflake Cloud storage such as S3 and GCS Data Architecture Proven record and passion to learn new skills quicklyStrong communication skills including verbal and written skills are must

Education:

Bachelor's degree in technology (Computer Science, Mathematics, Information Science)"
https://www.glassdoor.co.in/partner/jobListing.htm?pos=2625&ao=458177&s=58&guid=0000016baeaf6082944e1fea2ebd7e93&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_12487121&cb=1562003857985&jobListingId=3214795714,Data Analytics Principal,IHS Markit, – Bengaluru,"Department overview

IHS Markit is a global market leader in providing information, analytics and solutions for industries and markets that drive economies worldwide.

90% of worlds trade is carried by sea. IHS Markit Maritime & Trade offer analytical solutions that answer key strategic or operational questions that enable customers to concentrate on making effective business decisions using IHS Markit expert data analysis. We understand the shipping market drivers, global supply chain dynamics and the effects of industry trends. We know which goods are moving, where they are going, at what prices, on what ships and for what costs. We continually enhance existing services or develop new capabilities to meet customer demands.

The Analytics team within Maritime & Trade business line works on developing new revenue generating products, leveraging open source and big data technologies. These include new data integration, advanced analytics, forecasting, data visualisation, and smart use of existing data sources that address our customer need of identifying trading opportunities, reducing global supply chain risk and improving transport efficiency.

Position Summary

The candidate will work along with other data scientist and analysts to develop products that generate key insights on industry trend by applying various machine learning and data science techniques on proprietary as well as open data sources. The person will need to coordinate with Product managers, Industry Analysts and Technology experts to develop and deliver the product in accordance with customer requirements and agreed timeline.

Duties and responsibilities

Work with business stakeholders and product managers in developing new product ideas and innovative use of existing dataDrive complex analytical projects by leading and participating in tasks that use advanced modeling techniques to develop new products or improve existing products.Develop and apply knowledge of various machine learning techniques and best practices in data scienceGather knowledge about the Maritime industry and its interrelationship with various economic and policy decisionHandle project management and stakeholder management activitiesTrain and mentor junior team members on use of correct statistical techniques and logical frameworks for problem solving

Business competencies

Essential

10 years of progressive professional experience with 5+ years of experience in Advanced Analytics/ Data ScienceGood understanding of fundamental concepts in statistics, operations research, machine learning, and data mining and experience with applicationsAbility to perform complex data analysis and statistical modelling in PythonExperience using big data tools for data manipulation and modeling (PySpark/Scala)Knowledge of RDBMS concepts and experience working with SQLUnderstanding of data visualization principles and experience with data visualization toolsMasters degree in Quantitative discipline (CS, mathematics, statistics, engineering) from a leading university

Beneficial

Experience in leading complex analytical projects, leading data scientists and managing stakeholdersExperience working with geo spatial data and unstructured/semi-structured dataExperience in other statistical programming languages like R, SAS, OctaveWork experience in US, UK or Europe

Personal competencies

Excellent Logical thinking and problem-solving skillsAbility to confidently present your own ideas and solutions, as well as guide technical discussions.Welcoming and approachable attitude and ability to connect with people and build strong professional relationship.

-----------------------------------------------

IHS Markit is committed to Equal Employment Opportunity and providing reasonable accommodations to applicants with disabilities. If you are interested in applying for employment with IHS Markit and need special assistance or accommodation to use our website to apply to a position, please contact accessibility@ihsmarkit.com or call +1 212 849 0399. Determination on requests for reasonable accommodation will be considered on a case-by-case basis.

This contact information (email and phone) is intended for application assistance and accommodation requests only.

We are unable to accept resumes or provide information about application status through the phone number or email address above. Resumes are only accepted through the online application process and only qualified candidates will receive consideration and follow-up.

IHS Markit is proud to provide equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by law. We maintain a drug-free workplace and perform pre-employment drug testing. As a federal contractor in the United States, IHS Markit is required to participate in the E-Verify Program to confirm eligibility to work in the United States. For information regarding legal rights and protections in the United States, please click on the following links:

Right to Work

EEO is the Law

EEO is the Law Supplement

Pay Transparency Statement

-----------------------------------------------Current ColleaguesIf you are currently employed by IHS Markit, please apply internally via the Workday internal careers site."
https://www.glassdoor.co.in/partner/jobListing.htm?pos=3007&ao=133122&s=58&guid=0000016baeafe7388a34bfd62b4e5a9a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_d3fd7028&cb=1562003892496&jobListingId=3258375940,Associate - Data Analyst (UTM),Chase, – Bengaluru,"JPMorgan Chase & Co. (NYSE: JPM) is a leading global financial services firm with assets of $2.6 trillion and operations worldwide. The firm is a leader in investment banking, financial services for consumers and small business, commercial banking, financial transaction processing, and asset management. A component of the Dow Jones Industrial Average, JPMorgan Chase & Co. serves millions of consumers in the United States and many of the world’s most prominent corporate, institutional and government clients under its J.P. Morgan and Chase brands. Information about JPMorgan Chase & Co. is available at www.jpmorganchase.com

Chase Consumer & Community Banking serves nearly 66 million consumers and 4 million small businesses with a broad range of financial services through our 137,000 employees. The Consumer & Community Banking Business Modeling Center of Excellence is a newly formed unit in support of modeling needs for marketing, finance and operations. Our modelers work directly with each line of business, Consumer Banking, Business Banking, Auto Finance, Credit Card and Commerce Services, Chase Wealth Management and Home Lending, to build state-of-the-art models and tools to support business growth.

Job Description –

An Associate will primarily lead Business model validations and support other model governance tasks for Finance, Marketing, Deposits, and Operations. This role will require expertise in methods and metrics used for performance assessment of various types of business models used in portfolio and acquisition marketing, loss forecasting, and operations. The successful candidate will also excel at effective partnering and be ready to independently lead projects in a fast-paced, energetic environment.

Responsibilities:

Conduct ongoing performance assessment of models and ensure adherence to the firm-wide model policy.
Provide critical support in migrating model management and governance processes to a new generation model management platform.
Document, streamline, and automate model validation code and processes.
Participate in cross-business efforts to ensure adherence to model control and compliance requirements.
Provide project management support to modeling teams to ensure timely response to requests from regulators, internal audit, model governance and control groups.
Validate various data processes and sources that can affect model performance.
Support the production of various monthly and quarterly presentations for the line of business, model governance and control groups.
Provide reporting on model inventory and issue tracking.

Qualifications

Bachelor's degree in an Engineering, Computer Science, Statistics or equivalent work/training is required; Advanced degree is preferred.
Typically 6 years of related analytical experience.
Proficient with advanced programming techniques.
Strong Knowledge of statistical programming (such as SAS, R, or Python) is a must. Knowledge of VBA and UNIX preferred. Strong knowledge of SQL and hands on experience in any database (such as Oracle, Teradata, or DB2).
Strong analytical and problem solving skills.
Strong written and verbal communication
"
https://www.glassdoor.co.in/partner/jobListing.htm?pos=2618&ao=437149&s=58&guid=0000016baeaf6082944e1fea2ebd7e93&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_9813395a&cb=1562003857980&jobListingId=3241354473,KGS : MC : Data Engineer,KPMG, – Bengaluru,"Technical skills



Strong Data Analytics background in creating ETL workflows and Data Visualization


§ Strong SQL Knowledge and Data Modelling Concepts

§ Strong Data Visualization skills with end to end implementation.



Extensive (3 to 6 years) experience in building data visualization solutions
Hands on experience with any of the data visualization platforms: Qlikview/QlikSense/Tableau/Power Bi/Microstrategy
Hands on Experience with Alteryx in creating complex workflows and creating Macros.
Good to have- experience in Python
Good to have - skills with HTML, CSS , JQuery and JavaScript libraries D3.js
Good Data Analysis Skills in identifying different trends, patterns and other data issues within datasets.
Knowledge in Integrating dashboards with Web Interface (Mashup Methodologies)
Comfortable in working with large, multi-dimensional data sets (data manipulation and analysis)
Good understanding of concepts and how to include them in visualizations
Working experience at least on one full life cycle production deployment of Data Engineering solution
Excellent analytical aptitude and problem solving skills


Essential skills required

Education / professional qualifications

PG / Graduate in Engineering / MCA

Prior Experience: 3 to 6 years of relevant experience

Primary Skillset (Data Visualization): Tableau, Qlikview/sense, Power Bi, (Combination of minimum 2 tools)

Primary Skillset (ETL/Data Modelling): Alteryx, SQL

Good To Have : Programming knowledge in Python and HTML, CSS and D3."
https://www.glassdoor.co.in/partner/jobListing.htm?pos=1225&ao=437149&s=58&guid=0000016baead6f72aa0ae4156a657a80&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_80000e5a&cb=1562003730783&jobListingId=3235629388,Data Scientist Simulation,Grofers, – Bengaluru,"Grofers is a low-price online supermarket. We enable customers to order products via our mobile application or website across categories such as grocery, fruits & vegetables, beauty & wellness, household care, baby care, pet care, bakery and meats & seafood and get them delivered to their doorstep. At Grofers we believe in improving the quality of life of our customers by providing them best products at best prices. To be able to meet customer expectations and enrich their shopping experience, we provide them with products they best relate with, help them save money on everyday purchases, and give them the spending power they need. We operate in 13 cities in India and are continuously growing. We’ve raised $226.5 million till date from SoftBank, Tiger Global and Sequoia Capital.

Objective of this Role

As a Data Scientist – Simulation you will be part of a highly energetic supply chain product team and be part in building next-gen supply chain products for Grofers. You will participate in planning and launching new products and deployments across Pan-India and identifying areas of opportunities

Responsibilities:

Specific day to day responsibilities will include, but will not be limited to:



Work with business stakeholders to understand their problems and work with Product Managers to assign


areas of responsibilities for relevant teams



Coordinate with operations and training team for new Product deployments and feedback
Update relevant stakeholders about newly launched features and provide support for product related


queries



Drive and Track adoption of deployed features
Coordinate with tech and product team to report bugs and product enhancement
Resolve ad-hoc queries raised by operations team/business teams
Work with design and engineering teams through feature implementations
Design, build, configure and solutioning applications to meet Grofers business process and requirements.


Qualification/Desired Attributes



Must have skills : Arena, Anylogic, Basic Operations Research.
Good to have skills : Python, Basics of Data Analysis.
Monte Carlo Simulation, Continuous Model and Discrete Model,
Elements of Discrete Event Simulation,
Generation of Random Numbers,
Mechanics of Discrete Simulation,
Manual Simulation of single-server Model,
Subinterval Method, Replication Method, Event Scheduling, Process Oriented Method.
Must have experience in communication skills, logics of Operations Research and programming.
Preferred to have knowledge in Warehouse Optimization, Replenishment strategy, Purchase – Demand


planning – Dispatch planning in the supply chain management, Network Optimization, Forecasting and

Predictive analysis in business applications.

Preferred a PhD in Simulation or M.Sc. / M. Tech in Simulation / Operations Research. If anyone have experience / background in Simulation and its applications they can also apply.

Excited? You will be, once you visit our Engineering Blog where you can deep dive into all the cool stuff that our engineers have been working on.

All candidates interested in exploring the opportunity are requested to apply with us on careers@grofers.com"
https://www.glassdoor.co.in/partner/jobListing.htm?pos=1621&ao=133349&s=58&guid=0000016baeae10d6a5800c7f504ba34c&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_69134873&cb=1562003772056&jobListingId=3170707589,Sr Data Scientist - Data & Analytics,Neustar, – Bengaluru,"Neustar, Inc. is a leading global information services provider driving the connected world forward with trusted, holistic identity resolution. More information is available at https://www.home.neustar.

Job Requisition:R-2266 Sr Data Scientist - Data & Analytics (Open)Primary Location:BANGALOREJob Description:

Neustar, Inc. As a global information services provider and leader in Connection Science, we know how to connect people, places, and things. Our marketing, risk, security, registry, and communications solutions help over 12,000 clients grow and guard their businesses.

Job Requisition:

Data Scientist

Primary Location:

Bangalore

Job Description:

The Sr. Data Scientist will focus on Identity resolution and their group will be involved in projects from end-to-end, including data ingestion and curation, hypothesis development, feature engineering, and model development and evaluation. The team will be integral to the development of an automated real time anomaly and fraud detection systems.

Application areas include Identity Resolution, Marketing Analytics Security and Fraud and other Business Solutions supported by our or our client’s data.

Data Scientists create prototypes of new algorithms and support Engineering teams in productizing these capabilities. Data Scientists work closely with various teams including data acquisition, data products, data sciences and various business units including marketing, security, and internet of things to ensure implementation of capabilities that enable the organization’s vision. The role is based out of India at the Neustar offices in Bangalore.

Responsibilities:

Algorithm Development: Develop a deep understanding of all the data relevant to the problem to be addressed. Establish deterministic and probabilistic linkages between data sources and develop ways to extract and summarize the sought information in the data using a wide variety of statistical, data mining and machine learning techniques.Prototyping: Create prototypes of productizable ways to perform the analysis at scale, provide documentation and help educate your colleagues in different function about the solutionSupport Implementation: Closely work with product, engineering and client teams to incorporate Data Science capabilities into Neustar’s products and services

Experience and Qualifications:

Masters’s degree in Data Science, Statistics or a related field (we will consider applicants with a Bachelor’s degree and relevant work experience as well)At least three years of experience working on data-intensive analytics solutions & more than 5 years of overall experience.Solid understanding of data mining and statistics concepts and familiarity with real-world applications of these techniques.Hands on experience in Machine LearningSolid knowledge of SQL in its various forms for traditional databases and distributed computing environmentsExperience working with commercial and/or open source statistics and data mining packagesExperience working on large distributed datasets using Hive SQL, Spark, PythonStrong written and oral communication skillsStrong inter-personal collaboration skills. Being able to both work in groups or as an individual contributorGeneral curiosity, a willingness to experiment, pragmatism and the ability to handle ambiguity

About Us

Every day, the world generates roughly 2.5 quadrillion bits of data. Neustar isolates certain elements and analyzes, simplifies and edits them to make precise and valuable decisions that drive results. As one of the few companies capable of knowing with certainty who is on the other end of every interaction, we’re trusted by the world’s great brands to make critical decisions some 20 billion times a day. We help marketers send timely and relevant messages to the right people. Because we can authoritatively tell a client exactly who is calling or connecting with them, we make critical real-time responses possible. And the same comprehensive information that enables our clients to direct and manage orders also stops attackers. We know when someone isn’t who they claim to be, which helps stop fraud and denial of service before they’re a problem. Because we’re also an experienced manager of some of the world’s most complex databases, we help clients control their online identity, registering and protecting their domain name, and routing traffic to the correct network address. By linking the most essential information with the people who depend on it, we provide more than 12,000 clients worldwide with decisions—not just data. More information is available at https://www.home.neustar.

Diversity

Diversity, inclusion and teamwork are second nature to Neustar; and these values permeate our entire business structure. Neustar is committed to creating an environment where a wide spectrum of opinions and beliefs are actively sought, listened to and respected. Further, our talented workforce draws from the many geographic areas and markets in which Neustar operates worldwide, which represents a distinct competitive advantage. The rich and varied personal and professional backgrounds of our employees make Neustar a dynamic and rewarding company at which to build a career. We invite you to join us.

Neustar does not accept unsolicited resumes from external firms or agencies. Neustar will not be responsible for placement fees associated with unsolicited resumes.

DIVERSITY

Diversity, inclusion and teamwork are second nature to Neustar; and these values permeate our entire business structure. Neustar is committed to creating an environment where a wide spectrum of opinions and beliefs are actively sought, listened to and respected. Further, our talented workforce draws from the many geographic areas and markets in which Neustar operates worldwide, which represents a distinct competitive advantage. The rich and varied personal and professional backgrounds of our employees make Neustar a dynamic and rewarding company at which to build a career. We invite you to join us.

EOE of Minorities/Females/Vets/Disability

Neustar, Inc. considers all applicants for employment without regard to race, color, religion, sex, national origin, age, disability, sexual orientation, or status as a Vietnam-era or special disabled veteran in accordance with federal law and other state and local requirements. Neustar, Inc., complies with applicable state and local laws prohibiting discrimination in employment and provides reasonable accommodation to qualified individuals with disabilities in accordance with the American with Disabilities Act (ADA) and applicable state and local laws."
https://www.glassdoor.co.in/partner/jobListing.htm?pos=2714&ao=133266&s=58&guid=0000016baeaf7e9f99ef288f4e6e998e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_b4691d54&cb=1562003865834&jobListingId=3278065927,Specialized Analytics Manager,Citi, – Bengaluru,"
Primary Location: India,Karnataka,BangaloreEducation: Bachelor's DegreeJob Function: Decision ManagementSchedule: Full-timeShift: Day JobEmployee Status: RegularTravel Time: NoJob ID: 19030919


DescriptionSpecialized Analytics Manager

Business/Department/Objectives:

Provide analytic support to the business teams, understand the business context and formulate and execute appropriate analytical approach(es) to address the business situation. Independently manage end to end partner communication.

Core Responsibilities:

Delivery ownership /Relationship Management: Lead business delivery across multiple complex solution and Interact regularly with Partner leadership to set and manage expectations aligned to group capabilities and work to deepen existing relationshipsPlanning: Develop and communicate strategic and operational goals and plan for the teamTalent Management: Own resourcing strategy for the team and help GDM leaders to balance resource allocation across the siteOrganizational Development: Institutionalize analytic learnings across the site. Anticipate business demands and undertake initiatives to develop site capabilities aligned to the business requirementsCommunication: Effectively communicate strategic considerations with team, partners and senior management
Day-to-Day Responsibilities:

Collaborate with business teams to understand the challenges and innovatively come up with solutions to meet their requirementsProvide technical leadership and subject matter expertise to enable build best in class solutionsKeep abreast of the latest developments in the analytic space across industries for potential usesPOC Execution: Work on multiple project/unstructured problems businesses are facing across markets, look at providing solutions that go beyond traditional methods Using advanced technologies and new data sources
Key Deliverables:

Proven problem solving skills in industrial settings is a mustProven ability in model building and application experience in data mining techniques and tools (SAS and/or other modeling packages)Competent leadership skills of high quality TalentUnderstanding of financial domain is preferred Ability to translate and articulate thoughts and ideas to a larger audience including influencing skills with peers and senior managementProven ability to implement advanced technical solutions in the business operational environmentSelf-motivated to continuously upgrade ones domain knowledge, keep abreast of latest developments in the field and evaluate its application in the business area on a consistent basisExceptional commitment to stay focused in ones pursuit towards excellence with demonstrated results of the same
A1234QualificationsRequired:

Field of post-graduation Economics, Statistics & Economterics ,Computer Science, Mathematics, Operations Research, Management Science and related fields. Could be any graduate degree holder.

Experience:

Required:

Experience in the field of advanced quants while working for leading analytics organizations of large corporates or in consulting companies in analytics rolesExposure to Statistical modelling and toolsLed high quality teamsExposure to Machine Learning Algorithms preferred not must



"
https://www.glassdoor.co.in/partner/jobListing.htm?pos=618&ao=437149&s=58&guid=0000016baeacb2b0969190d7bbef71ae&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_c5bb102b&cb=1562003682565&jobListingId=3230073380,Specialized Analytics Manager,Citi, – Bengaluru,"
Primary Location: India,Karnataka,BangaloreEducation: Bachelor's DegreeJob Function: Decision ManagementSchedule: Full-timeShift: Day JobEmployee Status: RegularTravel Time: NoJob ID: 19030919


DescriptionSpecialized Analytics Manager

Business/Department/Objectives:

Provide analytic support to the business teams, understand the business context and formulate and execute appropriate analytical approach(es) to address the business situation. Independently manage end to end partner communication.

Core Responsibilities:

Delivery ownership /Relationship Management: Lead business delivery across multiple complex solution and Interact regularly with Partner leadership to set and manage expectations aligned to group capabilities and work to deepen existing relationshipsPlanning: Develop and communicate strategic and operational goals and plan for the teamTalent Management: Own resourcing strategy for the team and help GDM leaders to balance resource allocation across the siteOrganizational Development: Institutionalize analytic learnings across the site. Anticipate business demands and undertake initiatives to develop site capabilities aligned to the business requirementsCommunication: Effectively communicate strategic considerations with team, partners and senior management
Day-to-Day Responsibilities:

Collaborate with business teams to understand the challenges and innovatively come up with solutions to meet their requirementsProvide technical leadership and subject matter expertise to enable build best in class solutionsKeep abreast of the latest developments in the analytic space across industries for potential usesPOC Execution: Work on multiple project/unstructured problems businesses are facing across markets, look at providing solutions that go beyond traditional methods Using advanced technologies and new data sources
Key Deliverables:

Proven problem solving skills in industrial settings is a mustProven ability in model building and application experience in data mining techniques and tools (SAS and/or other modeling packages)Competent leadership skills of high quality TalentUnderstanding of financial domain is preferred Ability to translate and articulate thoughts and ideas to a larger audience including influencing skills with peers and senior managementProven ability to implement advanced technical solutions in the business operational environmentSelf-motivated to continuously upgrade ones domain knowledge, keep abreast of latest developments in the field and evaluate its application in the business area on a consistent basisExceptional commitment to stay focused in ones pursuit towards excellence with demonstrated results of the same
A1234QualificationsRequired:

Field of post-graduation Economics, Statistics & Economterics ,Computer Science, Mathematics, Operations Research, Management Science and related fields. Could be any graduate degree holder.

Experience:

Required:

Experience in the field of advanced quants while working for leading analytics organizations of large corporates or in consulting companies in analytics rolesExposure to Statistical modelling and toolsLed high quality teamsExposure to Machine Learning Algorithms preferred not must



"
https://www.glassdoor.co.in/partner/jobListing.htm?pos=718&ao=437149&s=58&guid=0000016baeacd17180fc1f5efc998aed&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_369c9127&cb=1562003690296&jobListingId=3201184845,Data Scientist,Eka Software, – Bengaluru,"Position : Data Scientist - Social Media Commodity/Freight Price/Demand/Supply Information Analysis

Description:

Seeking dedicated data scientists to help us sort, analyze and deliver relevant information from terabytes of unstructured data in the social media space. We strive for strong abstractions that allow for fast iteration, easy integration and short development cycles, allowing us to constantly learn from our data and empowering our clients to apply these insights toward product enhancements.

Education: B.Tech/M.Tech in Computer Science or M.Sc in Mathematics/Statistics from India's premier institutions.

Desired Skills & Experience:

Ability to prototype quickly and work with big data with minimal engineering support.

Strong experience with distributed system such as Hadoop/MapReduce, streaming data processing, distributed caches, and NoSQL databases.

Solid background in data mining, algorithms, statistical analysis, computational NLP and/or machine learning with at least 5 years experience.

Proven track record of solving challenging analytics problems."
