url,Position,Company,Location,Job_Description
https://www.glassdoor.co.in/partner/jobListing.htm?pos=512&ao=43297&s=58&guid=0000016b6ff094948293188baaba2f80&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_64c81b1f&cb=1560951166880&jobListingId=3097284742,Data Scientist,Citibank, – Bengaluru,"About us:

Global Decision Management (GDM) has a rich history of accelerating data-driven decision-making for Citi® businesses across geographies and functions. We are a rapidly growing organization focused on pioneering the adoption of state-of-the-art analytical techniques with the objective of transforming business practices for Citi globally.

Citi® and the overall banking & financial services industry is on the cusp of a revolution in terms of how we interact with our customers and meet their expectations. And GDM strives to be at the forefront of this wave, by harnessing the power of cutting-edge algorithms to solve various challenging problems for our business stakeholders:

Automating Customer Servicing:

Chatbots, Speech- and gesture-based authentication and transactions

AI based Advisory and Recommendation Systems:

Personalized Investment, News Articles, Offers (Web-scraping, NLP/NLU)

Real Time fraud detection and mitigation:

(Probabilistic Graph modeling, Rare-event modeling, Bayesian techniques 

Intelligent Operations - Automatic Form Readers (OCR), Interactive FAQ systems, Complaints identification and resolution (Topic & Sentiment Mining)

Customer Experience:

Improving customer experience on Mobile and Digital banking (Real-time propensity scoring & offer placement)

Pattern Mining:

Advanced ML algorithms to predict customer journeys and actions using sequential and geospatial data

What do we offer:

The key requirement for the role is the ability to work directly or handle teams which work on large scale data, tools/techniques to build strong capabilities in Advanced Analytics, Big Data, Machine Learning, Deep Learning, Digital & FinTech to solve key business challenges, propose solutions and build products.

Expertise Required:

Expertise with Big Data technologies (Hive/Impala, Spark/Scala, H2O) and databases (Oracle, Dbase, MongoDB) 

Experience with Programming languages – R, Java, Python 

Highly proficient with Deep Learning and Machine Learning Algorithms, Pattern Mining / Detection 

Very good written and verbal communication ability in an educational style. Ability to express thoughts and concepts clearly 

Ability to work well with a variety of people and to show team-player attitude regardless the scope of responsibilities 

Provide input into the innovation of new and enhanced approaches. Having initiative and a proactive attitude is desirable

Educational and Experience:

(Preferred) Post Graduate in – Computer Science, Mathematics, Operations Research, Statistics, Econometrics, Management Science and related fields 

Could be any graduate degree holder with relevant experience 

Strong academic record and publications in reputed journals or conferences 

5 to 12 years of experience in the field of advanced quantitative techniques, data sciences and large scale machine learning while working for leading global academic institutes or corporate innovation research labs or analytics organizations of large corporates or in consulting companies in analytics roles
"
https://www.glassdoor.co.in/partner/jobListing.htm?pos=1118&ao=437149&s=58&guid=0000016b6ff156f8b0776fd84c4ff5e4&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_e587c031&cb=1560951216188&jobListingId=3213487314,KGS:: MC:: Data Modeler,KPMG, – Bengaluru,"Roles and Responsibilities:

Model data sourced from Insurance policy and claims administration, financial reporting, investments, expenses and actuarial systems
Work with cross functional teams to analyze source data, data dictionary and develop high level and detailed data, access models, assist in conducting business and technical data assessments and document requirements.
Conduct gap analysis on a variety of data sets - systems of record, other data sources, data preparation, enrichment and transformation requirements
Ability to create and maintain conceptual data models, high complexity logical and physical data models.
Assist the design team in the transformation of these data models to physical database implementation. The physical deployment of logical data models are performed by the client. The data modeler will need to interact with the client to communicate changes, assist in deployment of the data model
Document target state end-end data flows and representations.

Requirements for this role:

Minimum 4 years leading Data Analysis in a Financial Services Environment preferably Insurance
Knowledge of Insurance data model is highly desirable. Experience working in any of the following insurance products would be highly desirable - Life, Group Benefits, Annuity, Pension, Property and Casualty products
Experience working in Full Life Cycle Data implementations
Experience developing information models using Data Modeling Tools like ERWIN etc,.
Experience supporting RDBMS platforms like Oracle, SQL Server.
Experience with data analysis for Finance data sourcing, business processes and reporting. Understanding of data requirements in audit and control framework (Sarbanes-Oxley, BCBS 239)
Experience delivering Finance data acquisition and developing various representations of data from Data Landing to Reporting – Landing, Staging, Aggregations, Subject areas, dimensions


Experience in data warehousing implementation projects will be an added advantage.

Qualifications and Skills

BE/Btech/MCA

Experience and Background:

Total years of experience :5- 8 years"
https://www.glassdoor.co.in/partner/jobListing.htm?pos=2922&ao=437149&s=58&guid=0000016b6ff3a0518c5fcc2f47e7bf42&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_c8767f4d&cb=1560951366272&jobListingId=3202778902,Data Engineer,Knoema, – Bengaluru,"Requirements
2+ years of experience in DBMS domain
Proven SQL Server 2008/2012 skills
Responsibilities
Development of methodologies and tools to extract/update data from different data sources and put it into database"
https://www.glassdoor.co.in/partner/jobListing.htm?pos=305&ao=437149&s=58&guid=0000016b6ff04d10b7507fa9c2020ed7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_f8c75f4f&cb=1560951148332&jobListingId=3267628912,Data Scientist,GO-JEK, – Bengaluru,"Responsibilities: Work as part of a product team in defining, prototyping and implementing data science models/algorithms as part of the product.  Take ownership of the data science model end-to-end - from data collection to model building to monitoring the model in production.  Along with product managers, own the business outcomes/metrics which the data science model/algorithm drives.  Participate in conferences, attend and help organise meet-ups.  Mentor junior colleagues, conduct internal workshops and external meet-ups, participate in external conferences and give talks.  Help to make data science and data-driven decision making a part of the organisation's DNA. Requirements: Solid understanding of the mathematics related to data science - probability, statistics, linear algebra etc.  Ability to understand business concerns and formulate them as technical problems that can be solved using data and math/stats/ML.  Experience working as part of a product team, along with engineers and product managers, to define the problem and execute the data science solution.  Experience working with large data sets, coming from varied sources, is a plus.  Familiarity with data engineering technologies (Kafka/Flink/Spark etc) is a plus.  Masters in a quantitative discipline with 5 - 9 years experience working as a Data Scientist in a product company (OR).  PhD in a quantitative discipline with 2 - 5 years working as Data Scientist in a product company."
https://www.glassdoor.co.in/partner/jobListing.htm?pos=101&ao=442891&s=58&guid=0000016b6ff007a38ee6c35d89c20afb&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_83055d79&cb=1560951130472&jobListingId=3246359132,"Data Scientist, Sr. II",Lam Research, – Bengaluru,"Eligibility Criteria:

Bachelor’s in Engineering in Computer Science or Information Systems
Experience in QuickBase / MS SQL/SAP HANA

Primary Responsibilities:



Design, develop and test Data Models to import data from source systems to meet Project requirements.
Effectively analyze the source data and write SQL scripts to integrate data from multiple data sources.
Efficient in writing & analyses complex sqls
T-Sql programming (stored procedures, functions, etc.,)
Database and ETL design concepts
Experience in data modelling concept – Physical & Logical Data modeling
Experience with Data analysis, data mapping, data loading, and data validation

Mandatory Skills required to perform the job:


Expert in DB design & modeling using QuickBase
Data Analysis skills and experience extracting information from SQL DB, SAP ECC, SharePoint, etc.
Strong database troubleshooting and problem solving skills are required.
Solid written and verbal communication skills.
Clear understanding of Data Warehousing concepts
Experience with ETL tools required
Strong analytical skills.

Desirable Skill:



SAP HANA
Knowledge of any programming language will be added advantage (preferably .Net, JavaScript)
Understanding and Experience in Manufacturing, Supply Chain, Spares Operations domain

Knowledge of Analytical Tools & Languages: Python, R, Statistical Libraries.
"
https://www.glassdoor.co.in/partner/jobListing.htm?pos=2026&ao=132990&s=58&guid=0000016b6ff275d3928b9519225ec86e&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_b22f8f93&cb=1560951289616&jobListingId=3240180686,Lead Data Analyst - Corp IT Ent Apps,Huron Consulting Group, – Bengaluru," Position Summary:  - Building highly scalable, robust & fault-tolerant systems and capabilities Creating a complete solution by integrating a variety of programming languages & tools together  Qualifications:  With general guidance, develops, and implements software solutions for Huron’s enterprise applications. This includes proprietary solution development, packaged application enhancements, and application integrations.  About Huron:  At Huron, we’re redefining what a consulting organization can be. We go beyond advice to deliver results that last. We inherit our client’s challenges as if they were our own. We help them transform for the future. We advocate. We make a difference. And we intelligently, passionately, relentlessly do great work…together.  Are you the kind of person who stands ready to jump in, roll up your sleeves and transform ideas into action? Then come discover Huron.  Whether you have years of experience or come right out of college, we invite you to explore our many opportunities. Find out how you can use your talents and develop your skills to make an impact immediately. Learn about how our culture and values provide you with the kind of environment that invites new ideas and innovation. Come see how we collaborate with each other in a culture of learning, coaching, diversity and inclusion. And hear about our unwavering commitment to make a difference in partnership with our clients, shareholders, communities and colleagues.  We offer a competitive compensation/benefits package. Huron is an equal opportunity employer. We recruit, employ, compensate, transfer, promote and train without regard to race, color, creed, religion, national origin, sex, marital status, pregnancy, disability, sexual orientation, veteran status, age, FMLA status or any other basis protected by law.LI:"
https://www.glassdoor.co.in/partner/jobListing.htm?pos=2729&ao=437149&s=58&guid=0000016b6ff3628fb071bad5537ea150&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_99d87df6&cb=1560951350240&jobListingId=3246156209,Data Scientist,KaHa Pte, – Bengaluru,"Responsibilities:

Build, validate, test, and deploy machine learning models (e.g. predictive, forecasting, clustering) using proven and experimental techniques.

Deploy an online learning model where applicable.

Define hypotheses, develop and execute necessary tests, experiments, and analyses to prove or disprove them.

Translate data speak to human speak by effectively conceptualizing analysis to team members and business stakeholders.

Develop creative algorithms by employing machine learning, and data mining techniques.

Collaborate with the overall program team, to meet and align with the program objectives.

Contribute to team's innovation and IP creation.

Requirements:

Bachelors (min 5 years of experience) or Masters (min 3 years of experience) in Electronics/Computer Engineering, Mathematics/Statistics.

Understanding of machine learning, deep learning, data mining, algorithmic foundations of optimization.

Experience with machine learning framework (sci kit-learn, Spark Ml lib etc).

Proficient in one or more of the following programming languages: Python, R, Scala.

Experience in building ML models at scale, using real-time big data pipelines on platforms such as Spark/Map Reduce.

Familiar with no SQL and distributed computing platforms.

Self-motivated, independent learner, and willing to share knowledge with team members.

Detail-oriented and efficient time manager in dynamic working environment."
https://www.glassdoor.co.in/partner/jobListing.htm?pos=3027&ao=437149&s=58&guid=0000016b6ff3c485bd6b440209518e94&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_2746916f&cb=1560951375332&jobListingId=3201066084,Data Engineer - Analytics,NoBroker, – Bengaluru,"Analytics:

Work closely with Data Sciences, Product & Engineering team to bring insights valuable for the growth of our business.

Work closely with the Product Team to build reports and dashboards to support the growing needs of the business.

Engineering:

Support our Machine Learning & Data Sciences Infrastructure.

Deploy, Monitor and scale our Machine Learning models in production.

Design, develop and optimize ETL processes required for our Data Products.

Requirement & Skillsets:

Strong Analytical, Problem Solving & Communication skills

Excellent implementation skills in Python with familiarity in OOP concepts

Experience in Linux & Shell scripting

Working proficiency in Databases like MySQL, MongoDB

Experience in Javascript

Preferable working knowledge in Elasticsearch & Kibana

Preferable knowledge in writing REST APIs

Preferable knowledge in working with Docker

Experience:

0 - 3 years of experience in data science/analytics.

If you have all/any of the above and you think that you can be a part of our growth journey of disrupting the real estate world, apply for the job by mailing us at careers@nobroker.in"
https://www.glassdoor.co.in/partner/jobListing.htm?pos=317&ao=645559&s=58&guid=0000016b6ff04d10b7507fa9c2020ed7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_0340d03a&cb=1560951148342&jobListingId=3242457326,Data Analyst,Cargill, – Bengaluru,"Position Purpose & SummaryAs a member of Cargill Corporate Audit, your passion for finding data driven and analytical insights will be a key enabler to the success of the department. As a Data Analyst, you will navigate the extensive production and analytical data environments within Cargill and apply that expertise in an Agile environment to provide value-added data analysis solutions. You will have an exciting opportunity to learn about Cargill’s products and services in the age of digitalization and enhance your knowledge and skills as you participate in audits that span diverse businesses, functions, and geographies. You’ll also be able to develop yourself through a peer network both within and outside of Cargill.We are looking for a candidate with proven data analytics experience utilizing data analysis methodologies and tools to increase efficiency and effectiveness. This requires a strong partnership with business and function stakeholders to identify opportunities to utilize data analysis to identify areas of risk to Cargill. This role requires strong technical skills, curiosity to learn new business processes, a creative mindset, critical thinking, and interpersonal skills.
Principal Accountabilities40"" Collaborate with auditors to determine data analytic needs for risk assessment and audit projects. Provide analytics or work with the businesses and functions to develop, design, document, and execute the required analytics.25"" Collaborate with the Audit Leadership to build and maintain internal and external dashboards and analytics for Corporate Audit and Audit Committee.10"" Directing, coaching, and allocating day-to-day tasks to team members in the U.S. and India as well as onboarding and training new data and analytics team members.10"" Lead the exploration and implementation of new and existing data analytic tools and techniques that will improve coverage for audit testing and risk assessment.10"" Assist in supporting our Audit technology environment.5"" Perform other activities, including process improvement initiatives and data analytics training for the department.
Minimum Required Qualifications• 2 or more years of relevant business experience.



1 or more years of experience with data analytics, business intelligence, and/or visualizations; using tools such as Microsoft Power BI, Tableau, Alteryx, Hadoop, SQL, Python, or R.
Ability to communicate and influence at multiple levels of the organization.
Demonstrates initiative and commitment for results.
Demonstrated ability to set priorities and manage multiple and concurrent priorities.
Demonstrated intellectual curiosity, desire to learn, discover and seek opportunities for improvement.
Demonstrated ability to communicate effectively in English (written and verbal).
Preferred Qualifications• 4-year Bachelor Degree.



Experience with large ERPs such as SAP and JDE.
Experience in designing, building, maintaining and/or supporting applications, infrastructure, or other technology.
Experience working in an environment using Agile processes.
Demonstrated project management experience.
Knowledge in SharePoint development and security.
"
https://www.glassdoor.co.in/partner/jobListing.htm?pos=1114&ao=481481&s=58&guid=0000016b6ff156f8b0776fd84c4ff5e4&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_1385e9b8&cb=1560951216185&jobListingId=3246602884,SAP Data Scientist,ExxonMobil, – Bengaluru,"Position Purpose & SummaryAs a member of Cargill Corporate Audit, your passion for finding data driven and analytical insights will be a key enabler to the success of the department. As a Data Analyst, you will navigate the extensive production and analytical data environments within Cargill and apply that expertise in an Agile environment to provide value-added data analysis solutions. You will have an exciting opportunity to learn about Cargill’s products and services in the age of digitalization and enhance your knowledge and skills as you participate in audits that span diverse businesses, functions, and geographies. You’ll also be able to develop yourself through a peer network both within and outside of Cargill.We are looking for a candidate with proven data analytics experience utilizing data analysis methodologies and tools to increase efficiency and effectiveness. This requires a strong partnership with business and function stakeholders to identify opportunities to utilize data analysis to identify areas of risk to Cargill. This role requires strong technical skills, curiosity to learn new business processes, a creative mindset, critical thinking, and interpersonal skills.
Principal Accountabilities40"" Collaborate with auditors to determine data analytic needs for risk assessment and audit projects. Provide analytics or work with the businesses and functions to develop, design, document, and execute the required analytics.25"" Collaborate with the Audit Leadership to build and maintain internal and external dashboards and analytics for Corporate Audit and Audit Committee.10"" Directing, coaching, and allocating day-to-day tasks to team members in the U.S. and India as well as onboarding and training new data and analytics team members.10"" Lead the exploration and implementation of new and existing data analytic tools and techniques that will improve coverage for audit testing and risk assessment.10"" Assist in supporting our Audit technology environment.5"" Perform other activities, including process improvement initiatives and data analytics training for the department.
Minimum Required Qualifications• 2 or more years of relevant business experience.



1 or more years of experience with data analytics, business intelligence, and/or visualizations; using tools such as Microsoft Power BI, Tableau, Alteryx, Hadoop, SQL, Python, or R.
Ability to communicate and influence at multiple levels of the organization.
Demonstrates initiative and commitment for results.
Demonstrated ability to set priorities and manage multiple and concurrent priorities.
Demonstrated intellectual curiosity, desire to learn, discover and seek opportunities for improvement.
Demonstrated ability to communicate effectively in English (written and verbal).
Preferred Qualifications• 4-year Bachelor Degree.



Experience with large ERPs such as SAP and JDE.
Experience in designing, building, maintaining and/or supporting applications, infrastructure, or other technology.
Experience working in an environment using Agile processes.
Demonstrated project management experience.
Knowledge in SharePoint development and security.
"
