,url,Position,Company,Location,Job_Description
1,https://www.glassdoor.co.in/partner/jobListing.htm?pos=227&ao=437149&s=58&guid=0000016baeabe00eb1d9532564c807a6&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_8d7d58d1&cb=1562003628530&jobListingId=3267628912,Data Scientist,GO-JEK, – Bengaluru,"Responsibilities:

Work as part of a product team in defining, prototyping and implementing data science models/algorithms as part of the product.

Take ownership of the data science model end-to-end - from data collection to model building to monitoring the model in production.

Along with product managers, own the business outcomes/metrics which the data science model/algorithm drives.

Participate in conferences, attend and help organise meet-ups.

Mentor junior colleagues, conduct internal workshops and external meet-ups, participate in external conferences and give talks.

Help to make data science and data-driven decision making a part of the organisation's DNA.

Requirements:

Solid understanding of the mathematics related to data science - probability, statistics, linear algebra etc.

Ability to understand business concerns and formulate them as technical problems that can be solved using data and math/stats/ML.

Experience working as part of a product team, along with engineers and product managers, to define the problem and execute the data science solution.

Experience working with large data sets, coming from varied sources, is a plus.

Familiarity with data engineering technologies (Kafka/Flink/Spark etc) is a plus.

Masters in a quantitative discipline with 5 - 9 years experience working as a Data Scientist in a product company (OR).

PhD in a quantitative discipline with 2 - 5 years working as Data Scientist in a product company."
2,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1004&ao=437149&s=58&guid=0000016baead30f6aeffe6cf8d7d0935&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_2be395a0&cb=1562003715324&jobListingId=3201562242,Data Analyst,Proziod Analytics, – Bengaluru," Proziod Analytics Pvt Ltd is looking for Data Analyst with 1+ years' Energy Domain experience What you'll do: Working in SAP utilities process, meter configurations, specialized in meter exchange and to update the readings  Associated with both internal meter and basic meter billing  Efficiently post all payments and report month to month finances for several clients  Well verse in centricity practice management including settings and daily operation processes  Comfortable with working insurance denials to increase overall practice's revenue  Delegated to cross-train employees to promote individual skill sets  Entrusted to complete specialize projects in effective and timely manner  Responsible for the automation of electronic remittance processor within centricity for several clients.  Simplified reporting process by developing excel templates using excel functions and macros."
3,https://www.glassdoor.co.in/partner/jobListing.htm?pos=2816&ao=132976&s=58&guid=0000016baeafa65a98836b4f5999adf7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_5a8fb391&cb=1562003875873&jobListingId=3225555825,Consumer Banking Technology - UK Consumer Deposits Technology - Data Engineer,Goldman Sachs, – Bengaluru,"MORE ABOUT THIS JOBWhat We DoAt Goldman Sachs, our Engineers don’t just make things – we make things possible. Change the world by connecting people and capital with ideas. Solve the most challenging and pressing engineering problems for our clients. Join our engineering teams that build massively scalable software and systems, architect low latency infrastructure solutions, proactively guard against cyber threats, and leverage machine learning alongside financial engineering to continuously turn data into action. Create new businesses, transform finance, and explore a world of opportunity at the speed of markets.Engineering, which is comprised of our Technology Division and global strategists groups, is at the critical center of our business, and our dynamic environment requires innovative strategic thinking and immediate, real solutions. Want to push the limit of digital possibilities? Start here.Who We Look ForGoldman Sachs Engineers are innovators and problem-solvers, building solutions in risk management, big data, mobile and more. We look for creative collaborators who evolve, adapt to change and thrive in a fast-paced global environment.What We Do At Goldman Sachs, our Engineers don’t just make things – we make things possible. We change the world by connecting people and capital with ideas and solve the most challenging and pressing engineering problems for our clients. Our engineering teams build scalable software and systems, architect low latency infrastructure solutions, proactively guard against cyber threats, and leverage machine learning alongside financial engineering to continuously turn data into action. Engineering, which is comprised of our Technology Division and global strategist groups, is at the critical center of our business. Our dynamic environment requires innovative strategic thinking. Want to push the limit of digital possibilities? Start here. Who We Look For Goldman Sachs Engineers are innovators and problem-solvers, building solutions in risk management, big data, mobile and more. We look for creative collaborators who evolve, adapt to change and thrive in a fast-paced global environment.

Consumer and Investment Management (CIMD)

The Consumer and Investment Management Division includes Goldman Sachs Asset Management (GSAM), Private Wealth Management (PWM) and our Consumer business (Marcus by Goldman Sachs). We provide asset management, wealth management and banking expertise to consumers and institutions around the world. CIMD partners with various teams across the firm to help individuals and institutions navigate changing markets and take control of their financial lives.

Consumer

Consumer, externally known as Marcus by Goldman Sachs, is comprised of the firm’s digitally-led consumer businesses, which include our deposits and lending businesses. It also includes our personal financial management app, Clarity Money. Consumer combines the strength and heritage of a 150-year-old financial institution with the agility and entrepreneurial spirit of a tech start-up. Through the use of insights and intuitive design, we provide customers with powerful tools that are grounded in value, transparency and simplicity to help them make smarter decisions about their money.RESPONSIBILITIES AND QUALIFICATIONSHOW YOU WILL FULFILL YOUR POTENTIAL• As a Security Engineer in Commercial Banking, you will be responsible for securing the applications (Web/API/Mobile) managed by the business unit.• The position is hands-on and requires close collaboration with Product Management, Engineering, Program Management, and Dev Ops teams.• In addition to developing / maintaining / operating / integrating security Infrastructure, you will act as a security advisor to architects, developers, analysts and others to ensure we embed security into the platform.• Drive adoption of embedded application security controls as part of the Software Development Life Cycle (SDLC) in Agile methodology• Automate security test cases for continuous controls monitoring• Review requirements / architecture to ensure security and privacy by design• Secure Code Reviews and Penetration Testing• Serve as an advisor for security related product features like authentication, cryptography, etc.SKILLS AND EXPERIENCE WE ARE LOOKING FOR• 10 years’ experience in application security or related fields and risk analysis techniques• Expert knowledge of application security best practices including OWASP and CWE• Strong software engineering background; programming experience in Java and Python preferred• Secure software development practices and frameworks• Security testing methodologies, tools and techniques with understanding of common application security vulnerabilities and controls to remediate• Hands-on experience with web and mobile application security code reviews written in popular programming languages (Java, JavaScript, C++, C#, Python, Perl, optionally Objective-C, etc.)• Hands-on experience with web application Penetration Testing• Hands-on experience with cloud security/designing secure systems on AWSPreferred Qualifications• Proficient communication skills and an effective team player• Experience working in Agile development and scrum teamsABOUT GOLDMAN SACHSThe Goldman Sachs Group, Inc. is a leading global investment banking, securities and investment management firm that provides a wide range of financial services to a substantial and diversified client base that includes corporations, financial institutions, governments and individuals. Founded in 1869, the firm is headquartered in New York and maintains offices in all major financial centers around the world.© The Goldman Sachs Group, Inc., 2019. All rights reserved Goldman Sachs is an equal employment/affirmative action employer Female/Minority/Disability/Vet."
4,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1314&ao=437149&s=58&guid=0000016baead935d998135bfad78c409&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_e88db500&cb=1562003740655&jobListingId=3271820263,Data Engineer,LifeSight, – Bengaluru,"Responsibilities:

Selecting and integrating any Big Data tools and frameworks required to provide requested capabilities.

Implementing ETL process.

Monitoring performance and advising any necessary infra structure changes.

Defining data retention policies.

Requirements:

B.Tech in Computer Science or related fields with 3-5 years of professional experience.

Proficient understanding of Java / Scala.

Proficient understanding of distributed computing principles.

Proficiency with Map Reduce, Hadoop, Spark.

Experience with building stream-processing systems, using solutions such as Storm or Spark-Streaming.

Good knowledge of Big Data querying tools, such as Pig, Hive, Cassandra and Impala.

Experience with Flink, Kafka Streams.

Experience in developing ETL pipelines using EMR or other schedulers like Oozie, Airflow etc.

Experience with NoSQL databases, such as Aerospike, HBase, MongoDB.

Good understanding of Lambda Architecture, along with its advantages and drawbacks.

Experience with Big data stores such as Redshift, ElasticSearch, Druid.

Worked closely with the data science team.

Experience with OLTP and OLAP.

Experience with AWS / GCP.

Data Warehousing, ETL, Flink, Hadoop, Hive, Kafka, NoSQL, Pig, Search, Spark, Storm, Aerospike, Cassandra, Elasticsearch, MongoDB, Redshift."
5,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1901&ao=437149&s=58&guid=0000016baeae937c9ecca8ed9b6487c3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_62de739e&cb=1562003805550&jobListingId=3201564694,Data Engineer,LifeSight, – Bengaluru,"Responsibilities:

Selecting and integrating any Big Data tools and frameworks required to provide requested capabilities.

Implementing ETL process.

Monitoring performance and advising any necessary infra structure changes.

Defining data retention policies.

Requirements:

B.Tech in Computer Science or related fields with 3-5 years of professional experience.

Proficient understanding of Java / Scala.

Proficient understanding of distributed computing principles.

Proficiency with Map Reduce, Hadoop, Spark.

Experience with building stream-processing systems, using solutions such as Storm or Spark-Streaming.

Good knowledge of Big Data querying tools, such as Pig, Hive, Cassandra and Impala.

Experience with Flink, Kafka Streams.

Experience in developing ETL pipelines using EMR or other schedulers like Oozie, Airflow etc.

Experience with NoSQL databases, such as Aerospike, HBase, MongoDB.

Good understanding of Lambda Architecture, along with its advantages and drawbacks.

Experience with Big data stores such as Redshift, ElasticSearch, Druid.

Worked closely with the data science team.

Experience with OLTP and OLAP.

Experience with AWS / GCP.

Data Warehousing, ETL, Flink, Hadoop, Hive, Kafka, NoSQL, Pig, Search, Spark, Storm, Aerospike, Cassandra, Elasticsearch, MongoDB, Redshift."
6,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1919&ao=399392&s=58&guid=0000016baeae937c9ecca8ed9b6487c3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_54455098&cb=1562003805564&jobListingId=3238534976,Computer Scientist (C/C++),Adobe, – Bengaluru,"Responsibilities



Would be working as a developer on the Cloud File System / Sync / ACP Local development team

Requirements
4 -5 years of C/C++ development experience
Good knowledge in C/C++, algorithms with good problem solving skills
Working knowledge of Android/iOS development would be an added advantage.

At Adobe, you will be immersed in an exceptional work environment that is recognized throughout the world on Best Companies lists. You will also be surrounded by colleagues who are committed to helping each other grow through our unique Check-In approach where ongoing feedback flows freely.

If you’re looking to make an impact, Adobe's the place for you. Discover what our employees are saying about their career experiences on the Adobe Life blog and explore the meaningful benefits we offer.

Adobe is an equal opportunity employer. We welcome and encourage diversity in the workplace regardless of race, gender, religion, age, sexual orientation, gender identity, disability or veteran status.
"
7,https://www.glassdoor.co.in/partner/jobListing.htm?pos=726&ao=433326&s=58&guid=0000016baeacd17180fc1f5efc998aed&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_65d13edf&cb=1562003690303&jobListingId=3252672270,"Data Analysis, DL Data scientists",QuEST Global, – Bengaluru,"Title

Data Analysis, DL Data scientists

08-Apr-2019

Job DescriptionMinimum Qualification:

Bachelor Degree in computing or related degree. (Masters/PhD with a focus on machine learning would be a definite plus)At least 5 years of professional experience in the field of data science, machine learning or statistics

Roles & Responsibilities:

You solve business problems with machine learning methods, signal processing, optimization methods and relevant techniques and create data analytics solutions based on business requirements.You design and implement robust data driven algorithms on a massively parallel platform (i.e. Hadoop, HBase, MapReduce, AWS).Identify valuable data sources and automate collection processes, analyse, Present information using data visualization techniquesPropose solutions and strategies to business challengesCustomer engagement. Understand the customer requirements and also work with offshore team closely to satisfy the customer requirements

Required Skills (Technical Competency):

Extensive knowledge in data mining processes, signal processing, image processing, time series analysis or related fieldsExpertise in one or more of the following data analytics frameworks or libraries and programming (i.e. KNIME, Python, R, Anaconda, Scikit-Learn, Tensorflow, Java)Ideally, you have first experience with massively parallel processing i.e. Hadoop, Spark, Pig, Hive, AWS etc.Ability to plan, prioritize, organize, schedule and execute assignmentsStrong analytical skills, with strong problem-solving capabilityExcellent interpersonal, presentation and communication skills

Desired Skills:

Machine learning / AI related certifications would be a plus.

Auto req ID

8263BR

Job Type

Full Time-Regular

Assignment Country

India

Total Years of Exp

10-15

Education Type

B.E/B.Tech/BS-Computer Science

Assignment State

Karnataka

Assignment Location

Bangalore (Bengaluru)

Experience Level

Mid Level
"
8,https://www.glassdoor.co.in/partner/jobListing.htm?pos=1218&ao=444236&s=58&guid=0000016baead6f72aa0ae4156a657a80&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_2a10f623&cb=1562003730778&jobListingId=3275042387,Sr Data Engineer,Honeywell, – Bengaluru,"Join a company that is transforming from a traditional industrial company to a contemporary digital industrial business, harnessing the power of cloud, big data, analytics, Internet of Things, and design thinking.

You will lead change that brings value to our customers, partners, and shareholders through the creation of innovative software and data-driven products and services. You will work with customers to identify their high value business questions and work through their data to search for answers. You will be responsible for working within Honeywell to identify opportunities for new growth and efficiency based on data analysis.JOB ACTIVITIESAs a Sr. Data Engineer, you will be part of a team that delivers contemporary analytics solutions for all Honeywell business groups and functions. You will build strong relationships with leadership to effectively deliver contemporary data analytics solutions and contribute directly to business success. You will develop solutions on various Database systems viz. Hive, Hadoop, PostgreSQL, etc.

You will identify and implement process improvements – and you don’t like to the same thing twice so you will automate it if you can. You are always keeping an eye on scalability, optimization, and process. You have worked with Big Data before, IoT data, SQL, Azure, AWS, and a bunch of other acronyms.

You will work on a team including scrum masters, product owners, data architects, data engineers, data scientists and DevOps. You and your team collaborate to build products from the idea phase through launch and beyond. The software you write makes it to production in couple of sprints. Your team will be working on creating a new platform using your experience of APIs, microservices, and platform development.YOU MUST HAVE· Bachelor's degree in Computer Science, Engineering, Applied Mathematics or related field

· 6-8 years of data engineering experience

· Should have developed and deployed complex big data ingestion jobs in Talend/Informatica BDM bringing prototypes to production on Hadoop/NoSQL/MPP platforms.

· Should have minimum 4 years of hands on experience with MapReduce, Pig/Hive, Spark, etc. and automation of data flow using NiFi and Airflow/Oozie.

· Minimum 3 years of experience in developing and building applications to process very large amounts of data (structured and unstructured), including streaming real-time data (Spark, R/Python, Scala, Kafka, Spark streaming or other such tools).

· Minimum 2 years of experience in working with at least one NoSQL system (HBase, Cassandra, MongoDB etc.). In-depth knowledge of schema design to effectively tackle the requirement.

· Experience in writing complex SQL statements

· Experience in working with cloud based deployments. Understanding of containers & container orchestration (Swarm or Kubernetes).

· Hands on experience in Cloudera, Hortonworks and/or Cloud (AWS EMR, Azure Data Lake Storage) based Hadoop distributions.

· Good understanding of branching, build, deployment, CI/CD methodologies such as Octopus and Bamboo

· Experience working with in Agile Methodologies and Scrum Knowledge of software best practices, like Test-Driven Development (TDD)

· Effective communication skills and succinct articulationWE VALUE· Experience in building advanced analytics solutions with data from enterprise systems like ERPs, CRMs, Marketing tools etc.

· Experience with dimensional modeling, data warehousing and data mining

· Experience with machine learning solutions and data science methods promotion

· Database performance management and API development

· Technology upgrade oversight

· Experience with visualization software (Tableau, Spotfire, Qlikview, Angular js, D3.js)

· Understanding of best-in-class model and data configuration and development processes

· Experience working with remote and global teams and cross team collaboration

· Consistently makes timely decisions even in the face of complexity, balancing systematic analysis with decisivenessbody {

 font-family: 'Honeywell Sans Book', Arial, sans-serif;

}

Sr Data Engineer

Deliver business value through Right and Fast partnershipJoin a company that is transforming from a traditional industrial company to a contemporary digital industrial business, harnessing the power of cloud, big data, analytics, Internet of Things, and design thinking.

You will lead change that brings value to our customers, partners, and shareholders through the creation of innovative software and data-driven products and services. You will work with customers to identify their high value business questions and work through their data to search for answers. You will be responsible for working within Honeywell to identify opportunities for new growth and efficiency based on data analysis.JOB ACTIVITIESAs a Sr. Data Engineer, you will be part of a team that delivers contemporary analytics solutions for all Honeywell business groups and functions. You will build strong relationships with leadership to effectively deliver contemporary data analytics solutions and contribute directly to business success. You will develop solutions on various Database systems viz. Hive, Hadoop, PostgreSQL, etc.

You will identify and implement process improvements – and you don’t like to the same thing twice so you will automate it if you can. You are always keeping an eye on scalability, optimization, and process. You have worked with Big Data before, IoT data, SQL, Azure, AWS, and a bunch of other acronyms.

You will work on a team including scrum masters, product owners, data architects, data engineers, data scientists and DevOps. You and your team collaborate to build products from the idea phase through launch and beyond. The software you write makes it to production in couple of sprints. Your team will be working on creating a new platform using your experience of APIs, microservices, and platform development.YOU MUST HAVE· Bachelor's degree in Computer Science, Engineering, Applied Mathematics or related field

· 6-8 years of data engineering experience

· Should have developed and deployed complex big data ingestion jobs in Talend/Informatica BDM bringing prototypes to production on Hadoop/NoSQL/MPP platforms.

· Should have minimum 4 years of hands on experience with MapReduce, Pig/Hive, Spark, etc. and automation of data flow using NiFi and Airflow/Oozie.

· Minimum 3 years of experience in developing and building applications to process very large amounts of data (structured and unstructured), including streaming real-time data (Spark, R/Python, Scala, Kafka, Spark streaming or other such tools).

· Minimum 2 years of experience in working with at least one NoSQL system (HBase, Cassandra, MongoDB etc.). In-depth knowledge of schema design to effectively tackle the requirement.

· Experience in writing complex SQL statements

· Experience in working with cloud based deployments. Understanding of containers & container orchestration (Swarm or Kubernetes).

· Hands on experience in Cloudera, Hortonworks and/or Cloud (AWS EMR, Azure Data Lake Storage) based Hadoop distributions.

· Good understanding of branching, build, deployment, CI/CD methodologies such as Octopus and Bamboo

· Experience working with in Agile Methodologies and Scrum Knowledge of software best practices, like Test-Driven Development (TDD)

· Effective communication skills and succinct articulationWE VALUE· Experience in building advanced analytics solutions with data from enterprise systems like ERPs, CRMs, Marketing tools etc.

· Experience with dimensional modeling, data warehousing and data mining

· Experience with machine learning solutions and data science methods promotion

· Database performance management and API development

· Technology upgrade oversight

· Experience with visualization software (Tableau, Spotfire, Qlikview, Angular js, D3.js)

· Understanding of best-in-class model and data configuration and development processes

· Experience working with remote and global teams and cross team collaboration
· Consistently makes timely decisions even in the face of complexity, balancing systematic analysis with decisiveness  Key Responsibilities
 Hadoop  Spark  MapReduce
Join a company that is transforming from a traditional industrial company to a contemporary digital industrial business, harnessing the power of cloud, big data, analytics, Internet of Things, and design thinking.

You will lead change that brings value to our customers, partners, and shareholders through the creation of innovative software and data-driven products and services. You will work with customers to identify their high value business questions and work through their data to search for answers. You will be responsible for working within Honeywell to identify opportunities for new growth and efficiency based on data analysis.JOB ACTIVITIESAs a Sr. Data Engineer, you will be part of a team that delivers contemporary analytics solutions for all Honeywell business groups and functions. You will build strong relationships with leadership to effectively deliver contemporary data analytics solutions and contribute directly to business success. You will develop solutions on various Database systems viz. Hive, Hadoop, PostgreSQL, etc.

You will identify and implement process improvements – and you don’t like to the same thing twice so you will automate it if you can. You are always keeping an eye on scalability, optimization, and process. You have worked with Big Data before, IoT data, SQL, Azure, AWS, and a bunch of other acronyms.

You will work on a team including scrum masters, product owners, data architects, data engineers, data scientists and DevOps. You and your team collaborate to build products from the idea phase through launch and beyond. The software you write makes it to production in couple of sprints. Your team will be working on creating a new platform using your experience of APIs, microservices, and platform development.YOU MUST HAVE· Bachelor's degree in Computer Science, Engineering, Applied Mathematics or related field

· 6-8 years of data engineering experience

· Should have developed and deployed complex big data ingestion jobs in Talend/Informatica BDM bringing prototypes to production on Hadoop/NoSQL/MPP platforms.

· Should have minimum 4 years of hands on experience with MapReduce, Pig/Hive, Spark, etc. and automation of data flow using NiFi and Airflow/Oozie.

· Minimum 3 years of experience in developing and building applications to process very large amounts of data (structured and unstructured), including streaming real-time data (Spark, R/Python, Scala, Kafka, Spark streaming or other such tools).

· Minimum 2 years of experience in working with at least one NoSQL system (HBase, Cassandra, MongoDB etc.). In-depth knowledge of schema design to effectively tackle the requirement.

· Experience in writing complex SQL statements

· Experience in working with cloud based deployments. Understanding of containers & container orchestration (Swarm or Kubernetes).

· Hands on experience in Cloudera, Hortonworks and/or Cloud (AWS EMR, Azure Data Lake Storage) based Hadoop distributions.

· Good understanding of branching, build, deployment, CI/CD methodologies such as Octopus and Bamboo

· Experience working with in Agile Methodologies and Scrum Knowledge of software best practices, like Test-Driven Development (TDD)

· Effective communication skills and succinct articulationWE VALUE· Experience in building advanced analytics solutions with data from enterprise systems like ERPs, CRMs, Marketing tools etc.

· Experience with dimensional modeling, data warehousing and data mining

· Experience with machine learning solutions and data science methods promotion

· Database performance management and API development

· Technology upgrade oversight

· Experience with visualization software (Tableau, Spotfire, Qlikview, Angular js, D3.js)

· Understanding of best-in-class model and data configuration and development processes

· Experience working with remote and global teams and cross team collaboration
· Consistently makes timely decisions even in the face of complexity, balancing systematic analysis with decisiveness  Additional Information



JOB ID: req193060
Category: Engineering
Location: HW Camp II,Bldgs 9A&9B,Plot C2,RMZ Ecoworld,Varturhobli, Sarjapur Marathahalli Outer Ring Road, Bangalore, KARNATAKA 560103 IND
Exempt


Careers at Honeywell - Engineering"
9,https://www.glassdoor.co.in/partner/jobListing.htm?pos=2806&ao=437149&s=58&guid=0000016baeafa65a98836b4f5999adf7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_8f340094&cb=1562003875863&jobListingId=3258641412,Data Science Opportunity - Automotive Domain,Altran, – Bengaluru,"As global leader in innovation and high-tech engineering consulting, Altran accompanies its clients in the creation and development of their new products and services.

Altran has been providing services for around thirty years to key players in the Aerospace, Automotive, Energy, Railway, Finance, Healthcare and Telecoms sectors. Covering every stage of project development from strategic planning through to manufacturing, Altran’s offers capitalise on the Group’s technological know-how in five key areas: : Intelligent Systems, Innovative Product Development, Lifecycle Experience, Mechanical Engineering, and Information Systems.

An international group, Altran operates in over twenty countries throughout Europe, Asia and the Americas. As a strategic partner, Altran offers its clients global project support while guaranteeing a consistent level of service. In order to offer specific support to dedicated local markets, Altran has chosen to keep a local dimension in order to better serve specific dedicated markets."
10,https://www.glassdoor.co.in/partner/jobListing.htm?pos=928&ao=437149&s=58&guid=0000016baead0d9c95b34544170600ca&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_d0557e4d&cb=1562003705667&jobListingId=3200278025,Data Science Opportunity - Automotive Domain,Altran, – Bengaluru,"As global leader in innovation and high-tech engineering consulting, Altran accompanies its clients in the creation and development of their new products and services.

Altran has been providing services for around thirty years to key players in the Aerospace, Automotive, Energy, Railway, Finance, Healthcare and Telecoms sectors. Covering every stage of project development from strategic planning through to manufacturing, Altran’s offers capitalise on the Group’s technological know-how in five key areas: : Intelligent Systems, Innovative Product Development, Lifecycle Experience, Mechanical Engineering, and Information Systems.

An international group, Altran operates in over twenty countries throughout Europe, Asia and the Americas. As a strategic partner, Altran offers its clients global project support while guaranteeing a consistent level of service. In order to offer specific support to dedicated local markets, Altran has chosen to keep a local dimension in order to better serve specific dedicated markets."
