,unique_id,city,job_qry,job_title,company_name,location,summary,salary,link,date,full_text
1,pj_7dfb0ec0c64b2518,Bengaluru,data+scientist+intern,MBA Marketing Intern,Analytics Saves at Work (aSaw),NOT_FOUND,NOT_FOUND,NOT_FOUND,/pagead/clk?mo=r&ad=-6NYlbfkN0DdajEbCx-KXIxdKnFi7XLqE9Qtjjzr22qLs4cyUK8MQDkrXIa-bYN_NjjpaSV35xRaiFU97SD0L02C_593uQgUhKWGQisY23e0upYzQ7KT5hQ1z-gAMaIY9_HVIudLxwWWNJCDT15UxJxpwOEzSP2Gi0hTLvjNxUfpo0fenB7Ew0Y1XNOTLfzuMa8Ug3lNwi_zK_SfOphUeCeV_c-Z2bpltPHGWvf5YGvTendMwlV1-WAPzjJpYNasQXJkLEu_P0R_AwgPMJzWBPePX1WtRGXBLSIZo52DcVSsHUVSDZG0hTbCJmpZuScQ2DsyPEVWjNJ2PdL_JzHNTFrSnf5NrmBzpsjzhuogfAG_egb7SyZM396AyAvER2AUzY796QzsA8xkW6wD6Wxz3cWNbQ65-nOdJ5RLKU_mXCWkCOd4KRE8LnWIxIP99rF_&p=0&fvj=1&vjs=3,NOT_FOUND,NOT_FOUND
2,p_7b4d7501bd7d4fea,Bengaluru,data+scientist+intern,Data Science Intern,Unique Technologies,"Bengaluru, Karnataka",NOT_FOUND,NOT_FOUND,/company/Unique-Technologies/jobs/Data-Science-Intern-7b4d7501bd7d4fea?fccid=ae532c35a4f1f866&vjs=3,25 days ago,NOT_FOUND
3,p_0f869da83c245ac6,Bengaluru,data+scientist+intern,GO-FOOD Intern,GO-JEK,"Bengaluru, Karnataka",NOT_FOUND,NOT_FOUND,/rc/clk?jk=0f869da83c245ac6&fccid=35c79097c1f63f3d&vjs=3,1 day ago,NOT_FOUND
4,p_52b1ac12c18a91e7,Bengaluru,data+scientist+intern,Applied Scientist - Intern,ADCI - Karnataka,"Bengaluru, Karnataka",NOT_FOUND,NOT_FOUND,/rc/clk?jk=52b1ac12c18a91e7&fccid=fe2d21eef233e94a&vjs=3,5 months ago,NOT_FOUND
5,p_00071a9eb98a6221,Bengaluru,data+scientist+intern,Head of Campus and Early Career Hiring,Google,"Bengaluru, Karnataka",NOT_FOUND,NOT_FOUND,/rc/clk?jk=00071a9eb98a6221&fccid=a5b4499d9e91a5c6&vjs=3,2 days ago,NOT_FOUND
6,p_ddfc6571ea82e80b,Bengaluru,data+scientist+intern,Image Processing (Python) Internship,Gifto Retail Technologies,"Bengaluru, Karnataka",NOT_FOUND,NOT_FOUND,/rc/clk?jk=ddfc6571ea82e80b&fccid=016cfd9371c7c4ba&vjs=3,18 hours ago,NOT_FOUND
7,p_da58b630775c8146,Bengaluru,data+scientist+intern,"Senior Research Associate, Detergent Formulation Centre",Novozymes,"Bengaluru, Karnataka",NOT_FOUND,NOT_FOUND,/rc/clk?jk=da58b630775c8146&fccid=70bb6ba3b2bf0f0c&vjs=3,4 days ago,NOT_FOUND
8,p_b8abb52c927a4263,Bengaluru,data+scientist+intern,Software Development Internship,Dasceq LLP,"Bengaluru, Karnataka",NOT_FOUND,NOT_FOUND,/rc/clk?jk=b8abb52c927a4263&fccid=f369dddbcefd38a9&vjs=3,12 days ago,NOT_FOUND
9,p_51deab2906e6e143,Bengaluru,data+scientist+intern,Sales and Marketing Intern,Quaero,"Bengaluru, Karnataka",NOT_FOUND,NOT_FOUND,/rc/clk?jk=51deab2906e6e143&fccid=1658b5f10b7ecad4&vjs=3,17 days ago,NOT_FOUND
10,p_a9cf36affde393a5,Bengaluru,data+scientist+intern,HR Intern,Nabler,"Bengaluru, Karnataka",NOT_FOUND,NOT_FOUND,/rc/clk?jk=a9cf36affde393a5&fccid=21b643335ddde625&vjs=3,30+ days ago,NOT_FOUND
